Mr,L,P,R,T,rho,epsilon,kappa,del_ad,del_nabla,Shell
1.8309183618361837e+33,1.199729958305128e+34,3954287792403543.0,34255922500.155933,6010059.02918686,4.910781975000641,0.01651992019543273,9977000638.225342,0.3990073522055412,0.02523835684454902,Rad
1.8310576057605763e+33,1.1997301825708125e+34,3953316904548423.0,34257831489.482082,6009473.133875456,4.910055491702527,0.016508567687073917,9977000638.225424,0.399007494802503,0.02524008680482182,Rad
1.8311968496849683e+33,1.1997304066726746e+34,3952346166062684.0,34259740541.21415,6008887.242449278,4.9093290487729195,0.016497221627759438,9977000638.225302,0.39900763739183587,0.02524181735217263,Rad
1.831336093609361e+33,1.199730630610812e+34,3951375576906358.0,34261649655.406624,6008301.354881316,4.908602646197584,0.016485882014163577,9977000638.225302,0.39900777997354947,0.025243548487007484,Rad
1.8314753375337536e+33,1.1997308543853218e+34,3950405137039510.0,34263558832.113983,6007715.471144581,4.907876283962294,0.016474548842962882,9977000638.225586,0.3990079225476539,0.0252452802097324,Rad
1.831614581458146e+33,1.1997310779963015e+34,3949434846422217.0,34265468071.390713,6007129.591212088,4.907149962052812,0.016463222110836014,9977000638.225832,0.39900806511415904,0.025247012520753547,Rad
1.8317538253825382e+33,1.1997313014438486e+34,3948464705014575.0,34267377373.291313,6006543.7150568655,4.906423680454898,0.016451901814463477,9977000638.225382,0.399008207673075,0.025248745420477104,Rad
1.8318930693069308e+33,1.1997315247280602e+34,3947494712776694.0,34269286737.870293,6005957.842651948,4.905697439154305,0.01644058795052796,9977000638.22579,0.3990083502244115,0.025250478909309364,Rad
1.832032313231323e+33,1.1997317478490335e+34,3946524869668714.0,34271196165.18216,6005371.973970386,4.904971238136788,0.016429280515714167,9977000638.225302,0.3990084927681787,0.025252212987656713,Rad
1.8321715571557155e+33,1.1997319708068659e+34,3945555175650785.0,34273105655.281425,6004786.108985237,4.904245077388095,0.016417979506708768,9977000638.22579,0.3990086353043864,0.025253947655925594,Rad
1.832310801080108e+33,1.1997321936016546e+34,3944585630683073.0,34275015208.222633,6004200.247669567,4.903518956893962,0.01640668492020071,9977000638.225464,0.3990087778330445,0.025255682914522518,Rad
1.8324500450045004e+33,1.1997324162334964e+34,3943616234725773.0,34276924824.0603,6003614.38999646,4.9027928766401345,0.01639539675288076,9977000638.225832,0.39900892035416335,0.02525741876385406,Rad
1.8325892889288927e+33,1.199732638702489e+34,3942646987739092.0,34278834502.84897,6003028.5359390015,4.902066836612348,0.016384115001441803,9977000638.22575,0.3990090628677524,0.02525915520432693,Rad
1.8327285328532853e+33,1.1997328610087288e+34,3941677889683252.0,34280744244.643192,6002442.685470292,4.901340836796325,0.01637283966257873,9977000638.225546,0.3990092053738217,0.025260892236347834,Rad
1.8328677767776776e+33,1.1997330831523134e+34,3940708940518504.0,34282654049.49752,6001856.838563444,4.900614877177799,0.01636157073298868,9977000638.225464,0.39900934787238107,0.025262629860323627,Rad
1.83300702070207e+33,1.1997333051333395e+34,3939740140205110.0,34284563917.466515,6001270.995191576,4.899888957742492,0.016350308209370484,9977000638.225668,0.39900949036344047,0.0252643680766612,Rad
1.8331462646264626e+33,1.1997335269519042e+34,3938771488703348.0,34286473848.60475,6000685.155327818,4.899163078476117,0.016339052088425263,9977000638.22526,0.39900963284700985,0.02526610688576753,Rad
1.8332855085508552e+33,1.1997337486081046e+34,3937802985973523.0,34288383842.966793,6000099.318945315,4.898437239364388,0.016327802366856083,9977000638.225586,0.39900977532309906,0.025267846288049664,Rad
1.8334247524752472e+33,1.1997339701020372e+34,3936834631975958.0,34290293900.607224,5999513.486017218,4.897711440393023,0.016316559041368115,9977000638.225628,0.3990099177917179,0.025269586283914732,Rad
